image,dominant_emotion,fear_score,angry,disgust,fear,happy,sad,surprise,neutral
img1.jpg,neutral,52.85,40.79,0.0,0.11,0.05,11.93,0.02,47.11
img10.jpg,sad,74.09,12.48,0.62,14.98,22.21,46.51,0.11,3.08
img2.jpg,happy,2.72,0.67,0.0,1.86,93.6,0.11,0.08,3.68
img3.jpg,sad,97.05,9.05,0.19,30.43,0.86,44.96,12.61,1.9
img4.jpg,neutral,3.4,0.05,0.0,0.32,6.51,2.97,0.06,90.09
img5.jpg,neutral,2.99,0.42,0.0,0.36,1.5,2.12,0.1,95.51
img6.jpg,angry,90.97,89.0,0.0,1.29,7.78,0.66,0.01,1.26
img7.jpg,angry,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
img8.jpg,neutral,0.02,0.0,0.0,0.01,0.19,0.01,0.0,99.8
img9.jpg,angry,85.35,77.56,0.0,1.16,10.09,3.94,2.69,4.57
